parent,child,parent_gidx,child_gidx,parent_name,child_name,pair_type,parent_layer,child_layer,layer_gap,gidx_gap,rho_i,rho_o,rho
3_o,3_down,24,27,o,down,o->down,3,3,0,3,0.8239507298162778,0.4407962336010471,0.3631943783758492
14_up,15_o,102,108,up,o,up->o,14,15,1,6,0.8810557790596294,0.41206869447408007,0.363055504635945
14_gate,15_o,103,108,gate,o,gate->o,14,15,1,5,0.8634088287499045,0.4194657807889399,0.3621704584916428
2_gate,3_down,19,27,gate,down,gate->down,2,3,1,8,0.8192215569151261,0.44031604813858405,0.36071639849080644
12_v,13_down,86,97,v,down,v->down,12,13,1,11,0.8500322607935663,0.4242956430178275,0.36066498467930386
9_o,9_down,66,69,o,down,o->down,9,9,0,3,0.8891259076515667,0.40509984240282615,0.36018476506591945
3_up,3_down,25,27,up,down,up->down,3,3,0,2,0.7757354123396171,0.4641206409491982,0.3600348167820536
14_o,15_gate,101,110,o,gate,o->gate,14,15,1,9,0.8500400953505973,0.42270393350853913,0.35931529194467116
4_gate,5_o,33,38,gate,o,gate->o,4,5,1,5,0.7922130237026209,0.4533417375174392,0.35914322864929044
6_o,6_down,45,48,o,down,o->down,6,6,0,3,0.7668923843139329,0.46766591079699366,0.3586494253934535
13_o,14_down,94,104,o,down,o->down,13,14,1,10,0.6552290118509639,0.5457890773179973,0.3576168378101207
14_up,15_down,102,111,up,down,up->down,14,15,1,9,0.9677985315129027,0.3680878857956185,0.35623491534068863
7_v,8_q,51,56,v,q,v->q,7,8,1,5,0.9631940570390066,0.3684449359898172,0.3548839726915091
4_o,4_gate,31,33,o,gate,o->gate,4,4,0,2,0.7724846139380122,0.4592923114178362,0.35479624387030445
9_up,9_down,67,69,up,down,up->down,9,9,0,2,0.9640027908857508,0.3674104224237883,0.35418467261704456
13_v,13_o,93,94,v,o,v->o,13,13,0,1,0.5991153719855375,0.5897443185599367,0.3533248867903938
13_q,13_up,91,95,q,up,q->up,13,13,0,4,0.7905734521554365,0.4462911723803745,0.3528259528152497
15_v,15_o,107,108,v,o,v->o,15,15,0,1,0.7134232763803828,0.4933900842848438,0.35199597046408654
8_q,8_v,56,58,q,v,q->v,8,8,0,2,0.9687823215190945,0.36296766151100984,0.351636653754993
